PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Ejecutivo;Agricultura;LIMA;LIMA;SAN ISIDRO;AUTORIDAD NACIONAL DEL AGUA ;20520711865
Poder Ejecutivo;Agricultura;LIMA;LIMA;LA MOLINA;INSTITUTO NACIONAL DE INNOVACION AGRARIA ;20131365994
Poder Ejecutivo;Agricultura;LIMA;LIMA;LA MOLINA;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO ;20131372931
Poder Ejecutivo;Agricultura;LIMA;LIMA;MIRAFLORES;PROGRAMA DE COMPENSACIONES PARA LA COMPETITIVIDAD ;20524605903
Poder Ejecutivo;Agricultura;LIMA;LIMA;JESUS MARIA;PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL ;20477936882
Poder Ejecutivo;Agricultura;LIMA;LIMA;LA MOLINA;PROGRAMA NACIONAL DE INNOVACION AGRARIA ;20563395746
Poder Ejecutivo;Agricultura;LIMA;LIMA;LIMA;PROGRAMA SUBSECTORIAL DE IRRIGACIONES ;20414868216
Poder Ejecutivo;Agricultura;LIMA;LIMA;LA MOLINA;PROYECTO DE INVESTIGACION Y EXTENSION AGRICOLA ;No identificado
Poder Ejecutivo;Agricultura;HUANUCO;LEONCIO PRADO;RUPA-RUPA;PROYECTO ESPECIAL ALTO HUALLAGA ;20202348654
Poder Ejecutivo;Agricultura;PUNO;PUNO;PUNO;PROYECTO ESPECIAL BINACIONAL LAGO TITICACA ;20162117379
Poder Ejecutivo;Agricultura;TUMBES;TUMBES;TUMBES;PROYECTO ESPECIAL BINACIONAL PUYANGO TUMBES ;20154446738
Poder Ejecutivo;Agricultura;LORETO;ALTO AMAZONAS;YURIMAGUAS;PROYECTO ESPECIAL DATEM DEL MARAÑON ALTO AMAZONAS LORETO CONDORCANQUI ;20572268200
Poder Ejecutivo;Agricultura;AYACUCHO;LA MAR;AYNA;PROYECTO ESPECIAL DE DESARROLLO DEL VALLE DE LOS RIO APURIMAC ENE Y MANTARO - PROVRAEM ;20600004001
