PODER;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;ENTIDAD;RUC
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;SAN BORJA;ORGANISMO SUPERVISOR DE INVERSION PRIVADA EN TELECOMUNICACIONES ;20216072155
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;MAGDALENA DEL MAR;ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA ;20376082114
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;SURQUILLO;ORGANISMO SUPERVISOR DE LA INVERSION EN INFRAESTRUCTURA DE TRANSPORTE DE USO PUBLICO ;20420248645
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;LIMA;PRESIDENCIA DEL CONSEJO DE MINISTROS ;20168999926
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;MIRAFLORES;PROYECTO ESPECIAL BICENTENARIO DE LA INDEPENDENCIA DEL PERU ;20605779558
Poder Ejecutivo;Presidencia del Consejo de Ministros;LIMA;LIMA;MAGDALENA DEL MAR;SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO ;20158219655
Poder Ejecutivo;Producción;LIMA;LIMA;LIMA;FONDO NACIONAL DE DESARROLLO PESQUERO ;20137921601
Poder Ejecutivo;Producción;CALLAO;CALLAO;CALLAO;INSTITUTO DEL MAR DEL PERU ;20148138886
Poder Ejecutivo;Producción;LIMA;LIMA;SAN ISIDRO;INSTITUTO NACIONAL DE CALIDAD ;20600283015
Poder Ejecutivo;Producción;LIMA;LIMA;SAN ISIDRO;INSTITUTO TECNOLOGICO DE LA PRODUCCION ;20131369477
Poder Ejecutivo;Producción;LIMA;LIMA;SAN ISIDRO;MINISTERIO DE LA PRODUCCION ;20504794637
Poder Ejecutivo;Producción;CALLAO;CALLAO;VENTANILLA;ORGANISMO NACIONAL DE SANIDAD PESQUERA ;20565429656
Poder Ejecutivo;Producción;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL A COMER PESCADO ;20552560711
Poder Ejecutivo;Producción;LIMA;LIMA;MIRAFLORES;PROGRAMA NACIONAL DE INNOVACION EN PESCA Y ACUICULTURA ;20602172784
Poder Ejecutivo;Producción;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL DE INNOVACION PARA LA COMPETITIVIDAD Y PRODUCTIVIDAD ;No identificado
Poder Ejecutivo;Relaciones Exteriores;LIMA;LIMA;MIRAFLORES;AGENCIA PERUANA DE COOPERACION INTERNACIONAL ;20504915523
Poder Ejecutivo;Relaciones Exteriores;LIMA;LIMA;LIMA;MINISTERIO DE RELACIONES EXTERIORES ;20131380101
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;MIRAFLORES;AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRANSPORTE MASIVO DE LIMA Y CALLAO ;20522773451
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;MIRAFLORES;AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO ;20604932964
Poder Ejecutivo;Transportes y Comunicaciones;CALLAO;CALLAO;LA PERLA;AUTORIDAD PORTUARIA NACIONAL ;20509645150
Poder Ejecutivo;Transportes y Comunicaciones;CALLAO;CALLAO;CALLAO;CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A. ;20100004675
Poder Ejecutivo;Transportes y Comunicaciones;CALLAO;CALLAO;CALLAO;EMPRESA NACIONAL DE PUERTOS S.A. ;20100003199
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LIMA;FONDO DE INVERSION EN TELECOMUNICACIONES ;20514935590
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LIMA;MINISTERIO DE TRANSPORTES Y COMUNICACIONES ;20131379944
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LIMA;PROGRAMA NACIONAL DE TELECOMUNICACIONES ;20604676372
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LIMA;PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO ;20380419247
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LIMA;PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL ;20503503639
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;LOS OLIVOS;SERVICIOS POSTALES DEL PERU S.A. ;20256136865
Poder Ejecutivo;Transportes y Comunicaciones;LIMA;LIMA;JESUS MARIA;SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS ;20536902385
Poder Ejecutivo;Ambiente;LORETO;MAYNAS;SAN JUAN BAUTISTA;INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA ;20171781648
Poder Ejecutivo;Ambiente;LIMA;LIMA;ATE;INSTITUTO GEOFISICO DEL PERU ;20131367008
Poder Ejecutivo;Ambiente;ANCASH;HUARAZ;HUARAZ;INSTITUTO NACIONAL DE INVESTIGACION EN GLACIARES Y ECOSISTEMAS DE MONTAÑA ;20600404262
Poder Ejecutivo;Ambiente;LIMA;LIMA;MAGDALENA DEL MAR;MINISTERIO DEL AMBIENTE ;20492966658
Poder Ejecutivo;Ambiente;LIMA;LIMA;JESUS MARIA;ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL ;20521286769
Poder Ejecutivo;Ambiente;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL DE CONSERVACION DE BOSQUES ;20546871330
Poder Ejecutivo;Ambiente;LIMA;LIMA;LIMA;PROYECTO ESPECIAL PARQUE ECOLOGICO NACIONAL ANTONIO RAIMONDI ;No identificado
Poder Ejecutivo;Ambiente;LIMA;LIMA;SAN ISIDRO;SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO ;20478053178
Poder Ejecutivo;Ambiente;LIMA;LIMA;MIRAFLORES;SERVICIO NACIONAL DE CERTIFICACION AMBIENTAL PARA LAS INVERSIONES SOSTENIBLES ;20556097055
Poder Ejecutivo;Ambiente;LIMA;LIMA;JESUS MARIA;SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA DEL PERU ;20131366028
Poder Ejecutivo;Ambiente;LIMA;LIMA;SAN ISIDRO;UNIDAD EJECUTORA 004 GESTION DE LOS RECURSOS NATURALES ;20565536061
Organismos Autónomos;Transportes y Comunicaciones;LIMA;LIMA;SAN LUIS;PROYECTO ESPECIAL LEGADO JUEGOS PANAMERICANOS Y PARAPANAMERICANOS ;20600378059
Organismos Autónomos;Transportes y Comunicaciones;LA LIBERTAD;TRUJILLO;TRUJILLO;TRANSPORTES METROPOLITANOS DE TRUJILLO ;20477412549
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;LIMA;BANCO DE MATERIALES SAC ;20100178584
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;ICA;ICA;ICA;FONDO DE RECONSTRUCCION INTEGRAL DE LAS ZONAS AFECTADAS POR LOS SISMOS DEL 15 DE AGOSTO DE 2007 ;No identificado
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;FONDO MIVIVIENDA S. A. ;20414671773
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO ;20504743307
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL ;20306484479
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;ORGANISMO TECNICO DE LA ADMINISTRACION DE LOS SERVICIOS DE SANEAMIENTO ;20565423372
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO ;20602547443
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL ;20548776920
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL DE SANEAMIENTO URBANO ;20207553698
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;SAN ISIDRO;FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL ;20509139700
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;SAN ISIDRO;MINISTERIO DE DESARROLLO E INCLUSION SOCIAL ;20545565359
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;SAN ISIDRO;PROGRAMA NACIONAL CUNA MAS ;20546537782
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;NULL;NULL;PROGRAMA NACIONAL DE ALIMENTACION ESCOLAR QALI WARMA ;No identificado
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;MIRAFLORES;PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES - JUNTOS ;20511268401
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;LIMA;PROGRAMA NACIONAL DE ASISTENCIA ALIMENTARIA ;No identificado
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;NULL;NULL;PROGRAMA NACIONAL DE ASISTENCIA SOLIDARIA PENSION 65 ;20547960051
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;MAGDALENA DEL MAR;PROGRAMA NACIONAL DE ENTREGA DE LA PENSION NO CONTRIBUTIVA A LA PERSONA CON DISCAPACIDAD SEVERA ;20605733281
Poder Ejecutivo;Desarrollo e Inclusión Social;LIMA;LIMA;LIMA;PROGRAMA NACIONAL PLATAFORMAS DE ACCION PARA LA INCLUSION SOCIAL ;20601993181
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;BANCO CENTRAL DE RESERVA DEL PERU ;20122476309
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;DEFENSORIA DEL PUEBLO ;20304117142
Organismos Autónomos;Otros;CUSCO;CUSCO;SAN SEBASTIAN;EMPRESA NACIONAL DE LA COCA S.A ;20114883230
Organismos Autónomos;Otros;LIMA;CAÐETE;SAN VICENTE DE CAÐETE;EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO ;20176170876
Organismos Autónomos;Otros;JUNIN;CHANCHAMAYO;CHANCHAMAYO;ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO SELVA CENTRAL S.A. ;20121876290
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU ;20143700136
Organismos Autónomos;Otros;LIMA;LIMA;SAN ISIDRO;FEDERACION PERUANA DE CAJAS MUNICIPALES DE AHORRO Y CREDITO ;No identificado
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;FUERO MILITAR POLICIAL ;20520640071
Organismos Autónomos;Otros;LIMA;LIMA;SANTIAGO DE SURCO;INSTITUTO PEDAGOGICO NACIONAL MONTERRICO ;No identificado
Organismos Autónomos;Otros;LIMA;LIMA;SAN ISIDRO;JUNTA NACIONAL DE JUSTICIA ;20194484365
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;JURADO NACIONAL DE ELECCIONES ;20131378549
Organismos Autónomos;Otros;LIMA;LIMA;JESUS MARIA;LA CONTRALORIA GENERAL DE LA REPUBLICA ;20131378972
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;MINISTERIO PUBLICO FISCALIA DE LA NACION ;20131370301
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;OFICINA CENTRAL DE LUCHA CONTRA LA FALSIFICACION DE NUMERARIO ;20505657773
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;OFICINA NACIONAL DE PROCESOS ELECTORALES ;20291973851
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL ;20295613620
Organismos Autónomos;Otros;LIMA;LIMA;SAN ISIDRO;SUPERINTENDENCIA DE BANCA, SEGUROS Y ADMINISTRADORAS PRIVADAS DE FONDOS DE PENSIONES ;20131370564
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;TRIBUNAL CONSTITUCIONAL ;20217267618
Organismos Autónomos;Otros;LA LIBERTAD;TRUJILLO;LA ESPERANZA;UNIDAD DE GESTION LOCAL N° 02 LA ESPERANZA ;20539910842
Organismos Autónomos;Otros;LIMA;LIMA;SAN BORJA;UNIDAD EJECUTORA 002 INICTEL UNI ;20514761826
Organismos Autónomos;Otros;LIMA;LIMA;SAN ISIDRO;UNIDAD EJECUTORA 002: MEJORA DE LA CALIDAD DE SERVICIOS REGISTRALES - RENIEC ;20605034358
Organismos Autónomos;Otros;LIMA;LIMA;LINCE;UNIDAD EJECUTORA 003: GESTION INTEGRAL DE LA CALIDAD AMBIENTAL ;20551322590
Organismos Autónomos;Otros;HUANUCO;PUERTO INCA;PUERTO INCA;UNIDAD EJECUTORA 306 EDUCACION UGEL PUERTO INCA ;20542420261
Organismos Autónomos;Otros;CALLAO;CALLAO;CALLAO;UNIVERSIDAD MARITIMA DEL PERU S.A.C. ;No identificado
Organismos Autónomos;Otros;HUANUCO;LEONCIO PRADO;RUPA-RUPA;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA ;20172356720
Organismos Autónomos;Otros;LIMA;LIMA;LA MOLINA;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA ;20147897406
Organismos Autónomos;Otros;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS ;20526917295
Organismos Autónomos;Otros;JUNIN;TARMA;TARMA;UNIVERSIDAD NACIONAL AUTONOMA ALTOANDINA DE TARMA ;20568847858
Organismos Autónomos;Otros;LORETO;ALTO AMAZONAS;YURIMAGUAS;UNIVERSIDAD NACIONAL AUTONOMA DE ALTO AMAZONAS ;20600041569
Organismos Autónomos;Otros;CAJAMARCA;CHOTA;CHOTA;UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA ;20529358220
Organismos Autónomos;Otros;AYACUCHO;HUANTA;HUANTA;UNIVERSIDAD NACIONAL AUTONOMA DE HUANTA ;20574653798
Organismos Autónomos;Otros;HUANCAVELICA;TAYACAJA;PAMPAS;UNIVERSIDAD NACIONAL AUTONOMA DE TAYACAJA DANIEL HERNANDEZ MORILLO ;20601401836
Organismos Autónomos;Otros;PASCO;PASCO;YANACANCHA;UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION ;20154605046
Organismos Autónomos;Otros;LIMA;BARRANCA;BARRANCA;UNIVERSIDAD NACIONAL DE BARRANCA ;20542068281
Organismos Autónomos;Otros;CAJAMARCA;CAJAMARCA;CAJAMARCA;UNIVERSIDAD NACIONAL DE CAJAMARCA ;20148258601
Organismos Autónomos;Otros;LIMA;CAÐETE;SAN VICENTE DE CAÐETE;UNIVERSIDAD NACIONAL DE CAÑETE ;20491363402
Organismos Autónomos;Otros;LIMA;LIMA;LURIGANCHO;UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE ;20174950971
Organismos Autónomos;Otros;PIURA;SULLANA;SULLANA;UNIVERSIDAD NACIONAL DE FRONTERA ;20526270364
Organismos Autónomos;Otros;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;UNIVERSIDAD NACIONAL DE HUANCAVELICA ;20168014962
Organismos Autónomos;Otros;LIMA;LIMA;RIMAC;UNIVERSIDAD NACIONAL DE INGENIERIA ;20169004359
Organismos Autónomos;Otros;CAJAMARCA;JAEN;JAEN;UNIVERSIDAD NACIONAL DE JAEN ;20487463737
Organismos Autónomos;Otros;PUNO;SAN ROMAN;JULIACA;UNIVERSIDAD NACIONAL DE JULIACA ;20448261272
Organismos Autónomos;Otros;LORETO;MAYNAS;IQUITOS;UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA ;20180260316
Organismos Autónomos;Otros;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;UNIVERSIDAD NACIONAL DE MOQUEGUA ;20449347448
Organismos Autónomos;Otros;PIURA;PIURA;CASTILLA;UNIVERSIDAD NACIONAL DE PIURA ;20172606777
Organismos Autónomos;Otros;AREQUIPA;AREQUIPA;AREQUIPA;UNIVERSIDAD NACIONAL DE SAN AGUSTIN ;20163646499
Organismos Autónomos;Otros;CUSCO;CUSCO;CUSCO;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO ;20172474501
Organismos Autónomos;Otros;SAN MARTIN;SAN MARTIN;TARAPOTO;UNIVERSIDAD NACIONAL DE SAN MARTI­N - TARAPOTO ;20160766191
Organismos Autónomos;Otros;LA LIBERTAD;TRUJILLO;TRUJILLO;UNIVERSIDAD NACIONAL DE TRUJILLO ;20172557628
Organismos Autónomos;Otros;TUMBES;TUMBES;TUMBES;UNIVERSIDAD NACIONAL DE TUMBES ;20177689051
Organismos Autónomos;Otros;UCAYALI;CORONEL PORTILLO;CALLARIA;UNIVERSIDAD NACIONAL DE UCAYALI ;20154598244
Organismos Autónomos;Otros;PUNO;PUNO;PUNO;UNIVERSIDAD NACIONAL DEL ALTIPLANO ;20145496170
Organismos Autónomos;Otros;CALLAO;CALLAO;BELLAVISTA;UNIVERSIDAD NACIONAL DEL CALLAO ;20138705944
Organismos Autónomos;Otros;JUNIN;HUANCAYO;HUANCAYO;UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU ;20145561095
Organismos Autónomos;Otros;ANCASH;SANTA;NUEVO CHIMBOTE;UNIVERSIDAD NACIONAL DEL SANTA ;20148309109
Organismos Autónomos;Otros;CUSCO;CUSCO;CUSCO;UNIVERSIDAD NACIONAL DIEGO QUISPE TITO ;20140269329
Organismos Autónomos;Otros;LIMA;LIMA;SAN MIGUEL;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL ;20170934289
Organismos Autónomos;Otros;HUANUCO;HUANUCO;PILLCO MARCA;UNIVERSIDAD NACIONAL HERMILIO VALDIZAN ;20172383531
Organismos Autónomos;Otros;UCAYALI;CORONEL PORTILLO;YARINACOCHA;UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA ;20393146657
Organismos Autónomos;Otros;JUNIN;CHANCHAMAYO;CHANCHAMAYO;UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA ;20568019521
Organismos Autónomos;Otros;CUSCO;LA CONVENCION;SANTA ANA;UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA ;20564325741
Organismos Autónomos;Otros;AMAZONAS;BAGUA;NULL;UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA ;20561164437
Organismos Autónomos;Otros;TACNA;TACNA;TACNA;UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN ;20147796634
Organismos Autónomos;Otros;LIMA;HUAURA;HUACHO;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION ;20172299742
Organismos Autónomos;Otros;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS ;20527760314
Organismos Autónomos;Otros;LIMA;LIMA;LIMA;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ;20148092282
Organismos Autónomos;Otros;APURIMAC;ABANCAY;TAMBURCO;UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC. ;20527056579
Organismos Autónomos;Otros;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO ;20105685875
Organismos Autónomos;Otros;AYACUCHO;HUAMANGA;AYACUCHO;UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA ;20143660754
Organismos Autónomos;Otros;ICA;ICA;ICA;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA ;20148421014
Organismos Autónomos;Otros;ANCASH;HUARAZ;INDEPENDENCIA;UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO ;20166550239
Organismos Autónomos;Otros;LIMA;LIMA;VILLA EL SALVADOR;UNIVERSIDAD NACIONAL TECNOLOGICA DE LIMA SUR ;20502245032
Organismos Autónomos;Otros;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS ;20479393568
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;EL AGUSTINO;SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA ;20100152356
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN BORJA;SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION ;20131377810
Organismos Autónomos;Salud;LIMA;LIMA;JESUS MARIA;CENTRAL DE ABASTECIMIENTO DE BIENES ESTRATEGICOS ;No identificado
Organismos Autónomos;Salud;LIMA;LIMA;JESUS MARIA;CENTRO NACIONAL DE TELEMEDICINA ;No identificado
Organismos Autónomos;Salud;LIMA;LIMA;ATE;HOSPITAL DE HUAYCAN ;20551553729
Organismos Autónomos;Salud;CALLAO;CALLAO;BELLAVISTA;HOSPITAL NACIONAL ALBERTO SABOGAL SOLOGUREN;No identificado
Organismos Autónomos;Salud;LIMA;LIMA;JESUS MARIA;HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS;No identificado
Organismos Autónomos;Salud;LIMA;LIMA;LA VICTORIA;HOSPITAL NACIONAL GUILLERMO ALMENARA IRIGOYEN;No identificado
Organismos Autónomos;Salud;LIMA;LIMA;JESUS MARIA;INSTITUTO DE EVALUACION DE TECNOLOGIAS EN SALUD E INVESTIGACION ;No identificado
Organismos Autónomos;Salud;LORETO;LORETO;NULL;INSTITUTO DE MEDICINA TRADICIONAL ;No identificado
Organismos Autónomos;Salud;ANCASH;HUARAZ;INDEPENDENCIA;RED ASISTENCIAL HUARAZ;No identificado
Organismos Autónomos;Educación;LIMA;LIMA;SURQUILLO;ESCUELA NACIONAL SUPERIOR DE BALLET ;20600641035
Organismos Autónomos;Educación;CAJAMARCA;SAN PABLO;SAN PABLO;UNIDAD DE GESTION EDUCATIVA LOCAL SAN PABLO ;20529672871
Organismos Autónomos;Educación;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;UNIVERSIDAD NACIONAL CIRO ALEGRIA ;20602391583
Organismos Autónomos;Educación;HUANUCO;NULL;NULL;UNIVERSIDAD NACIONAL DANIEL ALOMIA ROBLES ;No identificado
Poder Ejecutivo;Vivienda, Construcción y Saneamiento;LIMA;LIMA;SAN ISIDRO;SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES ;20131057823
Organismos Autónomos;Vivienda, Construcción y Saneamiento;TUMBES;TUMBES;TUMBES;UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES ;20603799373
Municipalidades;Otros;NULL;NULL;NULL;0001 MARIA AUXILIADORA ;No identificado
Municipalidades;Otros;NULL;NULL;NULL;1070 MELITON CARBAJAL ;No identificado
Municipalidades;Otros;LIMA;LIMA;JESUS MARIA;AUTORIDAD DEL PROYECTO COSTA VERDE ;20298619602
Municipalidades;Otros;LIMA;LIMA;CHORRILLOS;AUTORIDAD MUNICIPAL DE LOS PANTANOS DE VILLA ;20508353759
Municipalidades;Otros;LORETO;MAYNAS;IQUITOS;CAJA DE MUNICIPAL DE AHORRO Y CREDITO MAYNAS S.A. ;20103845328
Municipalidades;Otros;JUNIN;HUANCAYO;HUANCAYO;CAJA MUNICIPAL DE AHORRO Y CREDITO - HUANCAYO S.A.  ;20130200789
Municipalidades;Otros;AREQUIPA;AREQUIPA;AREQUIPA;CAJA MUNICIPAL DE AHORRO Y CREDITO DE AREQUIPA ;20100209641
Municipalidades;Otros;ICA;ICA;ICA;CAJA MUNICIPAL DE AHORRO Y CREDITO DE ICA S.A ;20104888934
Municipalidades;Otros;PIURA;PAITA;PAITA;CAJA MUNICIPAL DE AHORRO Y CREDITO DE PAITA S.A. ;20102361939
Municipalidades;Otros;ICA;PISCO;PISCO;CAJA MUNICIPAL DE AHORRO Y CREDITO DE PISCO S.A. ;20100209641
Municipalidades;Otros;TACNA;TACNA;TACNA;CAJA MUNICIPAL DE AHORRO Y CREDITO DE TACNA SA ;20130098488
Municipalidades;Otros;LA LIBERTAD;TRUJILLO;TRUJILLO;CAJA MUNICIPAL DE AHORRO Y CREDITO DE TRUJILLO S.A. ;20132243230
Municipalidades;Otros;ICA;ICA;ICA;CAJA MUNICIPAL DE AHORRO Y CREDITO ICA S.A. ;20104888934
Municipalidades;Otros;LIMA;LIMA;LIMA;CAJA MUNICIPAL DE CREDITO POPULAR DE LIMA ;20100269466
Municipalidades;Otros;PIURA;PIURA;PIURA;CAJA MUNICIPAL DE PIURA S.A.C. ;No identificado
Municipalidades;Otros;NULL;NULL;NULL;CEBA TERESA GONZALEZ DE FANNING ;No identificado
Municipalidades;Otros;LAMBAYEQUE;CHICLAYO;CHICLAYO;CENTRO DE GESTION TRIBUTARIA ;No identificado
Municipalidades;Otros;NULL;NULL;NULL;CENTRO PILOTO DE RECUPERACION PEDAGOGICA ;No identificado
Municipalidades;Otros;LIMA;NULL;NULL;EMPRESA DE SERVICIO DE LIMPIEZA MUNICIPAL PUBLICA DEL CALLAO ;No identificado
Municipalidades;Otros;JUNIN;HUANCAYO;HUANCAYO;EMPRESA DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO MUNICIPAL DE HUANCAYO ;No identificado
Municipalidades;Otros;LIMA;LIMA;ATE;EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE S.A. ;No identificado
Municipalidades;Otros;AMAZONAS;BAGUA;NULL;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO BAGUA SOCIEDAD ANONIMA ;No identificado
Municipalidades;Otros;LIMA;CAÑETE;NULL;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO CAÑETE S.A ;No identificado
Municipalidades;Otros;UCAYALI;CORONEL PORTILLO;CALLARIA;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CORONEL PORTILLO ;20128985841
Municipalidades;Otros;ICA;ICA;ICA;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE ICA S.A. ;20147626712
Municipalidades;Otros;ICA;PISCO;PISCO;EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE PISCO S.A. ;20162483715
Municipalidades;Otros;LIMA;LIMA;SANTA ANITA;EMPRESA MUNICIPAL DE MERCADOS - EMMSA ;20100164958
Municipalidades;Otros;PUNO;PUNO;PUNO;EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A ;20163947693
Municipalidades;Otros;APURIMAC;ABANCAY;ABANCAY;EMPRESA MUNICIPAL DE SERVICIO DE ABASTECIMIENTO DE AGUA POTABLE Y ALCANTARILLADO DE ABANCAY ;20115425651
Municipalidades;Otros;HUANUCO;HUANUCO;HUANUCO;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE HUANUCO SOCIEDAD ANONIMA ;20126850680
Municipalidades;Otros;LIMA;HUARAL;HUARAL;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA CIUDAD DE HUARAL ;20193099166
